ts,value,state,source
1706462606,12.86,discharging,history-rate
1706462606,8966.0,discharging,history-time-empty
1706462726,12.901,discharging,history-rate
1706462726,8815.0,discharging,history-time-empty
1706462846,67.0,discharging,history-charge
1706462846,12.873,discharging,history-rate
1706462846,8702.0,discharging,history-time-empty
1706462966,65.0,discharging,history-charge
1706462966,13.298,discharging,history-rate
1706462966,8294.0,discharging,history-time-empty
1706463086,12.646,discharging,history-rate
1706463086,8591.0,discharging,history-time-empty
1706463206,64.0,discharging,history-charge
1706463206,12.806,discharging,history-rate
1706463206,8357.0,discharging,history-time-empty
1706463326,63.0,discharging,history-charge
1706463326,13.206,discharging,history-rate
1706463326,7981.0,discharging,history-time-empty
1706463446,61.0,discharging,history-charge
1706463446,18.919,discharging,history-rate
1706463446,5468.0,discharging,history-time-empty
1706463566,60.0,discharging,history-charge
1706463566,18.788,discharging,history-rate
1706463566,5380.0,discharging,history-time-empty
1706463686,59.0,discharging,history-charge
1706463686,18.903,discharging,history-rate
1706463686,5220.0,discharging,history-time-empty
1706463806,57.0,discharging,history-charge
1706463806,17.483,discharging,history-rate
1706463806,5516.0,discharging,history-time-empty
1706463926,56.0,discharging,history-charge
1706463926,18.586,discharging,history-rate
1706463926,5055.0,discharging,history-time-empty
1706464046,55.0,discharging,history-charge
1706464046,13.653,discharging,history-rate
1706464046,6758.0,discharging,history-time-empty
1706464166,54.0,discharging,history-charge
1706464166,12.876,discharging,history-rate
1706464166,7034.0,discharging,history-time-empty
1706464286,53.0,discharging,history-charge
1706464286,13.002,discharging,history-rate
1706464286,6833.0,discharging,history-time-empty
1706464406,52.0,discharging,history-charge
1706464406,13.19,discharging,history-rate
1706464406,6610.0,discharging,history-time-empty
1706464526,51.0,discharging,history-charge
1706464526,13.066,discharging,history-rate
1706464526,6549.0,discharging,history-time-empty
1706464646,50.0,discharging,history-charge
1706464646,12.781,discharging,history-rate
1706464646,6557.0,discharging,history-time-empty
1706464766,49.0,discharging,history-charge
1706464766,13.127,discharging,history-rate
1706464766,6252.0,discharging,history-time-empty
1706464886,48.0,discharging,history-charge
1706464886,12.764,discharging,history-rate
1706464886,6298.0,discharging,history-time-empty
1706465006,47.0,discharging,history-charge
1706465006,12.667,discharging,history-rate
1706465006,6215.0,discharging,history-time-empty
1706465126,46.0,discharging,history-charge
1706465126,10.048,discharging,history-rate
1706465126,7695.0,discharging,history-time-empty
1706465246,45.0,discharging,history-charge
1706465246,13.735,discharging,history-rate
1706465246,5512.0,discharging,history-time-empty
1706465366,44.0,discharging,history-charge
1706465366,13.161,discharging,history-rate
1706465366,5621.0,discharging,history-time-empty
1706465486,43.0,discharging,history-charge
1706465486,13.47,discharging,history-rate
1706465486,5366.0,discharging,history-time-empty
1706465606,42.0,discharging,history-charge
1706465606,12.932,discharging,history-rate
1706465606,5456.0,discharging,history-time-empty
1706465726,41.0,discharging,history-charge
1706465726,13.058,discharging,history-rate
1706465726,5260.0,discharging,history-time-empty
1706465846,40.0,discharging,history-charge
1706465846,14.331,discharging,history-rate
1706465846,4672.0,discharging,history-time-empty
1706465966,39.0,discharging,history-charge
1706465966,12.933,discharging,history-rate
1706465966,5041.0,discharging,history-time-empty
1706466086,38.0,discharging,history-charge
1706466086,12.962,discharging,history-rate
1706466086,4902.0,discharging,history-time-empty
1706466206,36.0,discharging,history-charge
1706466206,15.704,discharging,history-rate
1706466206,3903.0,discharging,history-time-empty
1706466326,35.0,discharging,history-charge
1706466326,13.143,discharging,history-rate
1706466326,4533.0,discharging,history-time-empty
1706466446,34.0,discharging,history-charge
1706466446,13.661,discharging,history-rate
1706466446,4232.0,discharging,history-time-empty
1706466566,33.0,discharging,history-charge
1706466566,13.36,discharging,history-rate
1706466566,4192.0,discharging,history-time-empty
1706466686,32.0,discharging,history-charge
1706466686,12.574,discharging,history-rate
1706466686,4320.0,discharging,history-time-empty
1706466806,31.0,discharging,history-charge
1706466806,12.681,discharging,history-rate
1706466806,4150.0,discharging,history-time-empty
1706466926,30.0,discharging,history-charge
1706466926,12.965,discharging,history-rate
1706466926,3931.0,discharging,history-time-empty
1706467046,29.0,discharging,history-charge
1706467046,12.892,discharging,history-rate
1706467046,3825.0,discharging,history-time-empty
1706467166,28.0,discharging,history-charge
1706467166,12.906,discharging,history-rate
1706467166,3693.0,discharging,history-time-empty
1706467286,27.0,discharging,history-charge
1706467286,17.845,discharging,history-rate
1706467286,2564.0,discharging,history-time-empty
1706467406,25.0,discharging,history-charge
1706467406,14.541,discharging,history-rate
1706467406,2948.0,discharging,history-time-empty
1706467526,24.0,discharging,history-charge
1706467526,15.561,discharging,history-rate
1706467526,2630.0,discharging,history-time-empty
1706467646,23.0,discharging,history-charge
1706467646,16.185,discharging,history-rate
1706467646,2408.0,discharging,history-time-empty
1706467766,22.0,discharging,history-charge
1706467766,18.989,discharging,history-rate
1706467766,1960.0,discharging,history-time-empty
1706467886,21.0,discharging,history-charge
1706467886,12.992,discharging,history-rate
1706467886,2723.0,discharging,history-time-empty
1706467967,20.0,discharging,history-charge
1706467967,13.241,discharging,history-rate
1706467967,2582.0,discharging,history-time-empty
1706467997,12.93,discharging,history-rate
1706467997,2617.0,discharging,history-time-empty
1706468027,19.0,discharging,history-charge
1706468027,13.227,discharging,history-rate
1706468027,2517.0,discharging,history-time-empty
1706468057,13.237,discharging,history-rate
1706468057,2491.0,discharging,history-time-empty
1706468087,13.21,discharging,history-rate
1706468087,2460.0,discharging,history-time-empty
1706468100,14.401,pending-charge,history-rate
1706468100,13.21,pending-charge,history-rate
1706468100,0.0,pending-charge,history-time-empty
1706468101,13.255,discharging,history-rate
1706468101,2436.0,discharging,history-time-empty
1706468122,0.0,pending-charge,history-time-empty
1706468124,13.889,discharging,history-rate
1706468124,2299.0,discharging,history-time-empty
1706468126,0.0,pending-charge,history-time-empty
1706468127,9810.0,charging,history-time-full
1706468131,58.358,charging,history-rate
1706468131,2330.0,charging,history-time-full
1706468169,20.0,charging,history-charge
1706468169,54.955,charging,history-rate
1706468169,2435.0,charging,history-time-full
1706468289,24.0,charging,history-charge
1706468289,59.56,charging,history-rate
1706468289,2127.0,charging,history-time-full
1706468409,29.0,charging,history-charge
1706468409,58.886,charging,history-rate
1706468409,2027.0,charging,history-time-full
1706468529,33.0,charging,history-charge
1706468529,58.812,charging,history-rate
1706468529,1907.0,charging,history-time-full
1706468649,37.0,charging,history-charge
1706468649,53.827,charging,history-rate
1706468649,1960.0,charging,history-time-full
1706468769,41.0,charging,history-charge
1706468769,50.392,charging,history-rate
1706468769,1970.0,charging,history-time-full
1706468889,44.0,charging,history-charge
1706468889,45.49,charging,history-rate
1706468889,2053.0,charging,history-time-full
1706469009,47.0,charging,history-charge
1706469009,45.263,charging,history-rate
1706469009,1944.0,charging,history-time-full
1706469129,50.0,charging,history-charge
1706469129,35.57,charging,history-rate
1706469129,2350.0,charging,history-time-full
1706469249,53.0,charging,history-charge
1706469249,35.557,charging,history-rate
1706469249,2229.0,charging,history-time-full
1706469369,55.0,charging,history-charge
1706469369,32.114,charging,history-rate
1706469369,2335.0,charging,history-time-full
1706469489,57.0,charging,history-charge
1706469489,30.545,charging,history-rate
1706469489,2334.0,charging,history-time-full
1706469609,60.0,charging,history-charge
1706469609,30.674,charging,history-rate
1706469609,2204.0,charging,history-time-full
1706469729,62.0,charging,history-charge
1706469729,30.8,charging,history-rate
1706469729,2074.0,charging,history-time-full
1706469849,64.0,charging,history-charge
1706469849,30.935,charging,history-rate
1706469849,1949.0,charging,history-time-full
1706469969,66.0,charging,history-charge
1706469969,31.09,charging,history-rate
1706469969,1817.0,charging,history-time-full
1706470089,68.0,charging,history-charge
1706470089,31.236,charging,history-rate
1706470089,1693.0,charging,history-time-full
1706470209,71.0,charging,history-charge
1706470209,31.395,charging,history-rate
1706470209,1565.0,charging,history-time-full
1706470329,73.0,charging,history-charge
1706470329,31.561,charging,history-rate
1706470329,1439.0,charging,history-time-full
1706470449,75.0,charging,history-charge
1706470449,31.674,charging,history-rate
1706470449,1319.0,charging,history-time-full
1706470569,77.0,charging,history-charge
1706470569,31.879,charging,history-rate
1706470569,1194.0,charging,history-time-full
1706470689,80.0,charging,history-charge
1706470689,32.068,charging,history-rate
1706470689,1072.0,charging,history-time-full
1706470716,32.089,charging,history-rate
1706470716,1046.0,charging,history-time-full
1706470836,82.0,charging,history-charge
1706470836,32.27,charging,history-rate
1706470836,928.0,charging,history-time-full
1706470956,84.0,charging,history-charge
1706470956,30.737,charging,history-rate
1706470956,854.0,charging,history-time-full
1706471076,86.0,charging,history-charge
1706471076,27.085,charging,history-rate
1706471076,851.0,charging,history-time-full
1706471196,88.0,charging,history-charge
1706471196,23.946,charging,history-rate
1706471196,843.0,charging,history-time-full
1706471316,90.0,charging,history-charge
1706471316,21.194,charging,history-rate
1706471316,834.0,charging,history-time-full
1706471436,91.0,charging,history-charge
1706471436,18.831,charging,history-rate
1706471436,822.0,charging,history-time-full
1706471556,92.0,charging,history-charge
1706471556,16.733,charging,history-rate
1706471556,802.0,charging,history-time-full
1706471676,93.0,charging,history-charge
1706471676,14.943,charging,history-rate
1706471676,778.0,charging,history-time-full
1706471796,94.0,charging,history-charge
1706471796,13.417,charging,history-rate
1706471796,753.0,charging,history-time-full
1706471916,95.0,charging,history-charge
1706471916,12.048,charging,history-rate
1706471916,714.0,charging,history-time-full
1706472036,96.0,charging,history-charge
1706472036,10.894,charging,history-rate
1706472036,670.0,charging,history-time-full
1706515299,86.0,discharging,history-charge
1706515299,0.386,discharging,history-rate
1706515299,374829.0,discharging,history-time-empty
1706515299,0.0,discharging,history-time-full
1706515419,85.0,discharging,history-charge
1706515419,20.401,discharging,history-rate
1706515419,6986.0,discharging,history-time-empty
1706515539,84.0,discharging,history-charge
1706515539,16.836,discharging,history-rate
1706515539,8371.0,discharging,history-time-empty
1706515659,83.0,discharging,history-charge
1706515659,12.95,discharging,history-rate
1706515659,10758.0,discharging,history-time-empty
1706515779,82.0,discharging,history-charge
1706515779,15.35,discharging,history-rate
1706515779,8956.0,discharging,history-time-empty
1706515899,81.0,discharging,history-charge
1706515899,14.029,discharging,history-rate
1706515899,9676.0,discharging,history-time-empty
1706515991,80.0,discharging,history-charge
1706515991,13.502,discharging,history-rate
1706515991,9958.0,discharging,history-time-empty
1706516111,79.0,discharging,history-charge
1706516111,12.893,discharging,history-rate
1706516111,10303.0,discharging,history-time-empty
1706516231,78.0,discharging,history-charge
1706516231,13.355,discharging,history-rate
1706516231,9830.0,discharging,history-time-empty
1706516351,77.0,discharging,history-charge
1706516351,11.419,discharging,history-rate
1706516351,11355.0,discharging,history-time-empty
1706516471,76.0,discharging,history-charge
1706516471,12.414,discharging,history-rate
1706516471,10329.0,discharging,history-time-empty
1706516591,75.0,discharging,history-charge
1706516591,13.139,discharging,history-rate
1706516591,9647.0,discharging,history-time-empty
1706516711,74.0,discharging,history-charge
1706516711,11.856,discharging,history-rate
1706516711,10569.0,discharging,history-time-empty
1706516831,11.309,discharging,history-rate
1706516831,10950.0,discharging,history-time-empty
1706516951,73.0,discharging,history-charge
1706516951,11.918,discharging,history-rate
1706516951,10261.0,discharging,history-time-empty
1706517071,72.0,discharging,history-charge
1706517071,15.798,discharging,history-rate
1706517071,7631.0,discharging,history-time-empty
1706521558,70.0,discharging,history-charge
1706521558,0.405,discharging,history-rate
1706521558,292177.0,discharging,history-time-empty
1706521617,0.847,pending-charge,history-rate
1706521617,0.0,pending-charge,history-time-empty
1706521618,0.405,pending-charge,history-rate
1706521741,72.0,charging,history-charge
1706521741,31.684,charging,history-rate
1706521741,1472.0,charging,history-time-full
1706521861,74.0,charging,history-charge
1706521861,31.859,charging,history-rate
1706521861,1346.0,charging,history-time-full
1706521981,77.0,charging,history-charge
1706521981,32.002,charging,history-rate
1706521981,1225.0,charging,history-time-full
1706522101,79.0,charging,history-charge
1706522101,32.167,charging,history-rate
1706522101,1103.0,charging,history-time-full
1706522160,80.0,charging,history-charge
1706522160,32.246,charging,history-rate
1706522160,1043.0,charging,history-time-full
1706522280,82.0,charging,history-charge
1706522280,30.945,charging,history-rate
1706522280,971.0,charging,history-time-full
1706522400,84.0,charging,history-charge
1706522400,27.804,charging,history-rate
1706522400,960.0,charging,history-time-full
1706522520,86.0,charging,history-charge
1706522520,24.901,charging,history-rate
1706522520,951.0,charging,history-time-full
1706522640,88.0,charging,history-charge
1706522640,22.313,charging,history-rate
1706522640,942.0,charging,history-time-full
1706522760,89.0,charging,history-charge
1706522760,19.968,charging,history-rate
1706522760,933.0,charging,history-time-full
1706522880,90.0,charging,history-charge
1706522880,17.937,charging,history-rate
1706522880,921.0,charging,history-time-full
1706523000,91.0,charging,history-charge
1706523000,16.203,charging,history-rate
1706523000,899.0,charging,history-time-full
1706523120,92.0,charging,history-charge
1706523120,14.678,charging,history-rate
1706523120,875.0,charging,history-time-full
1706523240,93.0,charging,history-charge
1706523240,13.363,charging,history-rate
1706523240,840.0,charging,history-time-full
1706523360,94.0,charging,history-charge
1706523360,12.206,charging,history-rate
1706523360,802.0,charging,history-time-full
1706523480,95.0,charging,history-charge
1706523480,11.189,charging,history-rate
1706523480,756.0,charging,history-time-full
1706523600,96.0,charging,history-charge
1706523600,10.277,charging,history-rate
1706523600,704.0,charging,history-time-full
1706523720,97.0,charging,history-charge
1706523720,9.417,charging,history-rate
1706523720,649.0,charging,history-time-full
1706523840,8.644,charging,history-rate
1706523840,591.0,charging,history-time-full
1706523960,98.0,charging,history-charge
1706523960,7.961,charging,history-rate
1706523960,524.0,charging,history-time-full
1706524080,7.345,charging,history-rate
